market_instance,dyn_net_return,stat_net_return,return_improvement,dyn_total_revenue,stat_total_revenue,revenue_improvement,dyn_avg_fee,stat_avg_fee,dyn_fee_volatility,dyn_avg_volume,stat_avg_volume,volume_ratio_dyn,volume_ratio_stat
82,-0.413706834060173,-0.412925060004137,-0.000781774056036022,2414.5581633155834,3978.3709965134144,-1563.812833197831,0.0002778556412507252,0.0005,0.00022343718451127542,32.985384246303305,30.999464847326696,2.5012326237936426e-05,2.3394763010809947e-05
83,0.2547263457564656,0.25673539820981095,-0.0020090524533453724,2103.499899955289,6121.122437599608,-4017.622537644319,0.0001663388210984402,0.0005,9.090416056123408e-05,18.524907942054355,16.965640671016896,7.95659658082913e-06,7.292033618584394e-06
84,0.12390787333077938,0.12520148182161547,-0.0012936084908360956,1926.5301028451017,4514.141110102047,-2587.611007256945,0.00021091308044530465,0.0005,0.00014050622866873042,24.43125747965963,22.65473573038589,1.3966880870827397e-05,1.2984476280923361e-05
85,0.0214366189979217,0.02311544133182708,-0.001678822333905379,2133.9781057652062,5491.274129233843,-3357.296023468637,0.00018651796389211841,0.0005,0.00011533167098417936,21.512127427568334,19.853633036555706,1.0411492694665256e-05,9.610904978842027e-06
86,-0.37102011329126333,-0.3699875264634398,-0.001032586827823534,1899.3496293384449,3964.355319396309,-2065.005690057864,0.00023627370693956063,0.0005,0.00016866124205089288,28.35091381206516,26.465759423665595,1.927571614218348e-05,1.80340384000564e-05
87,-0.16181808198904188,-0.16067675293454306,-0.0011413290544988186,2033.8772306402834,4316.79462569249,-2282.9173950522063,0.00022303562646633688,0.0005,0.0001457860269494906,26.478776915219115,24.62047324305416,1.6181853540727243e-05,1.5054320881383752e-05
88,-0.41889925400892636,-0.41790939910620534,-0.0009898549027210213,2037.974032497288,4017.6384811547296,-1979.6644486574417,0.00025694860123986644,0.0005,0.00020510434664326718,28.708366270486387,27.000105500058652,1.9674369505187724e-05,1.8561108720793135e-05
89,0.35940478064186965,0.3611105662398501,-0.0017057855979804581,2642.7363586028982,6054.5945640339,-3411.8582054310014,0.00021408014493441648,0.0005,0.0001508109726354778,19.323994971875784,17.97705146168401,8.481853795899627e-06,7.909466650443795e-06
90,-0.2914729825658898,-0.2905751484063903,-0.000897834159499511,2240.5840604441087,4036.7692647754093,-1796.1852043313006,0.0002733684505428325,0.0005,0.00018722006705268406,29.70053600874062,28.043988433028556,2.0271657590818793e-05,1.917464280901832e-05
91,0.12810970579060166,0.12983287505271937,-0.001723169262117713,2110.4448413115115,5557.580269926034,-3447.1354286145224,0.00017904848952009895,0.0005,9.368017093989157e-05,20.73360374744999,19.079079085626603,9.798500090212573e-06,9.017974481282001e-06
92,0.08469973379367893,0.08662825318328268,-0.0019285193896037556,2010.8259312962923,5867.483960479791,-3856.6580291834985,0.0001696546865899267,0.0005,9.458103937835512e-05,19.79959915662717,18.200963933033982,8.876947059486682e-06,8.167118288930695e-06
93,-0.3527879363099763,-0.3517276792486046,-0.0010602570613716944,1721.0124128060766,3842.1040788140926,-2121.091666008016,0.00020752593886155362,0.0005,0.0001253331176921942,28.708792761577232,26.523473757061733,1.971046888150955e-05,1.820730643808751e-05
94,-0.48916380034364504,-0.4880283082650944,-0.0011354920785506262,1885.8647252783144,4157.008462559139,-2271.1437372808246,0.00021775716675514827,0.0005,0.00011895496780530555,27.748890755403494,25.735461754082504,1.839969699159708e-05,1.707199283894269e-05
95,-0.3734601448490863,-0.3721846863200932,-0.0012754585289930787,2392.255810839972,4943.252936289092,-2550.9971254491197,0.00024223590728209428,0.0005,0.00018617104886297647,24.5315026961994,23.018871568292553,1.4018140798359674e-05,1.3224355445744633e-05
96,0.870007591027014,0.8722587342129028,-0.0022511431858888153,2532.5191400737076,7037.510766907614,-4504.991626833907,0.0001805088758400045,0.0005,0.0001306528144519477,17.874430920233355,16.515812167860915,7.3567651882885375e-06,6.812197265330069e-06
97,0.9834605803793945,0.9854357953485519,-0.001975214969157313,2237.339722004126,6188.566219235486,-3951.2264972313596,0.00017597458214144035,0.0005,0.00010881370043964136,19.223822208636754,17.721017408416614,8.77921507695412e-06,8.111666420752274e-06
98,-0.11797030763694062,-0.11663796736221783,-0.0013323402747227875,2180.5862865187837,4845.973921961067,-2665.3876354422837,0.00022523458635268325,0.0005,0.00015838307795025867,22.779302344993297,21.23270504028656,1.2204343174695592e-05,1.1401096772768818e-05
99,-0.29289084117276654,-0.29149552837341897,-0.00139531279934757,1956.9207957576318,4748.1893307354985,-2791.2685349778667,0.0002044333393417813,0.0005,0.00012313521952916933,22.15299303918871,20.426817845412934,1.1766647639040636e-05,1.0869717025563056e-05
